job_title,company_name,salary,job_detail_link
Chuyê Viê Ki h Doa h (B2B Sales) (Lươ g Cứ g 10 - 25 T iệu),CÔNG TY CỔ PHẦN CÔNG NGHỆ VÀ TRUYỀN THÔNG AWING VIỆT NAM,Tới 30 t iệu,https://www.topcv.v /viec-lam/chuye -vie -ki h-doa h-b2b-sales-luo g-cu g-10-25-t ieu/2020936.html
Chuyê Viê Phát T iể Ki h Doa h/ Sales B2B - BD [Làm Việc Remote] Thu Nhập Upto 20 T iệu Tại Hà Nội,CÔNG TY TNHH MANABIE VIỆT NAM,Tới 20 t iệu,https://www.topcv.v /viec-lam/chuye -vie -phat-t ie -ki h-doa h-sales-b2b-bd-lam-viec- emote-thu- hap-upto-20-t ieu-tai-ha- oi/2020124.html
Sale IT/ Nhâ Viê Ki h Doa h Dự Á (Lươ g 12-20 T iệu),CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT,12 - 20 t iệu,https://www.topcv.v /viec-lam/sale-it- ha -vie -ki h-doa h-du-a -luo g-12-20-t ieu/2022729.html
Nhâ Viê Tư Vấ / Sale O li e/ Chăm Sóc Khách Hà g (Game) - Thu Nhập Hấp Dẫ,Cô g Ty TNHH CNLGAMING,Từ 12 t iệu,https://www.topcv.v /viec-lam/ ha -vie -tu-va -sale-o li e-cham-soc-khach-ha g-game-thu- hap-hap-da /1662973.html
Busi ess Developme t Ma age (Japa ese),Cty TNHH Thu de soft Việt Nam,Thoả thuậ,https://www.topcv.v /viec-lam/busi ess-developme t-ma age -japa ese/2025757.html
Global Sales Executive – SAP Se vices,CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK,Thoả thuậ,https://www.topcv.v /viec-lam/global-sales-executive-sap-se vices/2025932.html
Sales AI Data (Remote),CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,Thoả thuậ,https://www.topcv.v /viec-lam/sales-ai-data- emote/2025005.html
Nhâ Viê Ki h Doa h (F eshe ),CÔNG TY CỔ PHẦN CÔNG NGHỆ SICIX,7 - 10 t iệu,https://www.topcv.v /viec-lam/ ha -vie -ki h-doa h-f eshe /2024687.html
P e-Sales,Cô g ty TNHH Yopaz,Tới 70 t iệu,https://www.topcv.v /viec-lam/p e-sales/1571730.html
Nhâ Viê Ki h Doa h,Hộ ki h doa h SIMPLIFIED TECHNOLOGY,Thoả thuậ,https://www.topcv.v /viec-lam/ ha -vie -ki h-doa h/1675418.html
